review,garage service positive,ease of booking positive,processed_text,sentiment,subthemes
"Prices are very competitive, ordering is fast & fitting location staff friendly & knowledgeable. No pushy up selling.I have bought tyres several times in the past from [REDACTED] & won't be buying from anywhere else in the future.",value for money positive,garage service positive,"['Prices', 'competitive', ',', 'ordering', 'fast', '&', 'fitting', 'location', 'staff', 'friendly', '&', 'knowledgeable', '.', 'pushy', 'selling.I', 'bought', 'tyres', 'several', 'times', 'past', '[', 'REDACTED', ']', '&', 'wo', ""n't"", 'buying', 'anywhere', 'else', 'future', '.']",positive,"{'wait time': 'positive', 'incorrect tyres': 'positive'}"
Quick and easy to order,,,"['Quick', 'easy', 'order']",positive,{}
Great service very please easy website use thank you,,,"['Great', 'service', 'please', 'easy', 'website', 'use', 'thank']",positive,{'garage service': 'positive'}
"Great service as always, quick and easy to book an appointment.",ease of booking positive,,"['Great', 'service', 'always', ',', 'quick', 'easy', 'book', 'appointment', '.']",positive,{'garage service': 'positive'}
Very happy to state that this was the best and easiest purchase of tyres in my motoring time.,,,"['happy', 'state', 'best', 'easiest', 'purchase', 'tyres', 'motoring', 'time', '.']",positive,"{'wait time': 'positive', 'incorrect tyres': 'positive'}"
Best price we could find and we were able to get the tyre fitted locally very quickly. We received excellent friendly efficient service.,value for money positive,location positive,"['Best', 'price', 'could', 'find', 'able', 'get', 'tyre', 'fitted', 'locally', 'quickly', '.', 'received', 'excellent', 'friendly', 'efficient', 'service', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
I had an issue with the garage who fitted my new tyres but both [REDACTED] and the garage (Lavender Motors) were first class. The minor problem was quickly solved and the willingness of both parties was very reassuring.Thanks all.,garage service positive,advisor/agent service positive,"['issue', 'garage', 'fitted', 'new', 'tyres', '[', 'REDACTED', ']', 'garage', '(', 'Lavender', 'Motors', ')', 'first', 'class', '.', 'minor', 'problem', 'quickly', 'solved', 'willingness', 'parties', 'reassuring.Thanks', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
So easy and quick to use. No hassles at all,,,"['easy', 'quick', 'use', '.', 'hassles']",positive,{}
"Fast, easy, no problems at all",,,"['Fast', ',', 'easy', ',', 'problems']",positive,{}
"Great price, great choice of local garages",,,"['Great', 'price', ',', 'great', 'choice', 'local', 'garages']",positive,{'garage service': 'positive'}
"Great experience! The lads were efficient, friendly and very helpful!",garage service positive,length of fitting positive,"['Great', 'experience', '!', 'lads', 'efficient', ',', 'friendly', 'helpful', '!']",positive,{}
"Once again very pleased, excellent service and best price by far.",value for money positive,,"['pleased', ',', 'excellent', 'service', 'best', 'price', 'far', '.']",positive,{'garage service': 'positive'}
"Service,Tun Up",,,"['Service', ',', 'Tun']",neutral,{'garage service': 'neutral'}
No problems encountered.,,,"['problems', 'encountered', '.']",neutral,{}
Excellent Value / Price with no hassle,value for money positive,,"['Excellent', 'Value', '/', 'Price', 'hassle']",positive,{}
Great fast service .. experienced fitters .. cannot fault .. highly recommended .. 5*,garage service positive,,"['Great', 'fast', 'service', '..', 'experienced', 'fitters', '..', 'fault', '..', 'highly', 'recommended', '..', '5', '*']",positive,{'garage service': 'positive'}
ALWAYS SEEM TO HAVE THE BEST PRICES ON QUALITY TYRES. FITTED AT NEAREST DEALER TO SUIT YOU. PERFECT!,tyre quality positive,value for money positive,"['ALWAYS', 'SEEM', 'BEST', 'PRICES', 'QUALITY', 'TYRES', '.', 'FITTED', 'NEAREST', 'DEALER', 'SUIT', '.', 'PERFECT', '!']",positive,{'incorrect tyres': 'positive'}
Great service recommended. Great service recommend,,,"['Great', 'service', 'recommended', '.', 'Great', 'service', 'recommend']",positive,{'garage service': 'positive'}
"Good Choice,good price and Castle motors excellent for fitting",value for money positive,garage service positive,"['Good', 'Choice', ',', 'good', 'price', 'Castle', 'motors', 'excellent', 'fitting']",positive,{}
1st time using [REDACTED]. All correspondence great. Had tyres fitted in a local garage i never knew existed. All quick and efficient with a friendly service.,location positive,garage service positive,"['1st', 'time', 'using', '[', 'REDACTED', ']', '.', 'correspondence', 'great', '.', 'tyres', 'fitted', 'local', 'garage', 'never', 'knew', 'existed', '.', 'quick', 'efficient', 'friendly', 'service', '.']",positive,"{'garage service': 'positive', 'wait time': 'positive', 'incorrect tyres': 'positive'}"
Absolutely spot on. Very friendly bunch of guys with good attitudes and eager to help. Very impressed.,,,"['Absolutely', 'spot', '.', 'friendly', 'bunch', 'guys', 'good', 'attitudes', 'eager', 'help', '.', 'impressed', '.']",positive,{}
"Good prompt on line service, good price, quality tyres, good garage recommended and delivered the items direct to the fitting garage",value for money positive,tyre quality positive,"['Good', 'prompt', 'line', 'service', ',', 'good', 'price', ',', 'quality', 'tyres', ',', 'good', 'garage', 'recommended', 'delivered', 'items', 'direct', 'fitting', 'garage']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
Cracking price (10% off offer on Michelins day) & garage did a good job although took a lot longer than i'd envisaged.,discounts positive,,"['Cracking', 'price', '(', '10', '%', 'offer', 'Michelins', 'day', ')', '&', 'garage', 'good', 'job', 'although', 'took', 'lot', 'longer', ""'d"", 'envisaged', '.']",positive,{'garage service': 'positive'}
"Excellent fast service, couldn’t fault ⭐️⭐️⭐️⭐️⭐️",,,"['Excellent', 'fast', 'service', ',', '’', 'fault', '⭐️⭐️⭐️⭐️⭐️']",positive,{'garage service': 'positive'}
"Top make tyres at good prices supplied and fitted promptly, first class will be buying from them again.",value for money positive,length of fitting positive,"['Top', 'make', 'tyres', 'good', 'prices', 'supplied', 'fitted', 'promptly', ',', 'first', 'class', 'buying', '.']",positive,{'incorrect tyres': 'positive'}
Quick simple and affordable nothing else to say but perfect 👍🏻👍🏻,value for money positive,,"['Quick', 'simple', 'affordable', 'nothing', 'else', 'say', 'perfect', '👍🏻👍🏻']",positive,{}
Very good condition and very good value and very good service,value for money positive,tyre quality positive,"['good', 'condition', 'good', 'value', 'good', 'service']",positive,{'garage service': 'positive'}
hassle free service tyres fitted locally. Price was very reasonable for a quality tyre and included fitting and wheel balancing,location positive,value for money positive,"['hassle', 'free', 'service', 'tyres', 'fitted', 'locally', '.', 'Price', 'reasonable', 'quality', 'tyre', 'included', 'fitting', 'wheel', 'balancing']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
"Good value, easy to arrange. Great concept",value for money positive,,"['Good', 'value', ',', 'easy', 'arrange', '.', 'Great', 'concept']",positive,{}
Fast and efficient service. Highly recommended.,,,"['Fast', 'efficient', 'service', '.', 'Highly', 'recommended', '.']",positive,{'garage service': 'positive'}
Just great! Every simple process,,,"['great', '!', 'Every', 'simple', 'process']",positive,{}
East to order and very competitive pricing Quick and efficient service. 2 tyres fitted in 20 minutes. Would definitely use again. Only small gripe would be the waiting room which was not a very nice place to be although fully aware I'm in a garage!,value for money positive,length of fitting positive,"['East', 'order', 'competitive', 'pricing', 'Quick', 'efficient', 'service', '.', '2', 'tyres', 'fitted', '20', 'minutes', '.', 'Would', 'definitely', 'use', '.', 'small', 'gripe', 'would', 'waiting', 'room', 'nice', 'place', 'although', 'fully', 'aware', ""'m"", 'garage', '!']",positive,"{'garage service': 'positive', 'wait time': 'positive', 'incorrect tyres': 'positive'}"
"Very quick and easy to use. Bonus, it was my own garage that fitted them. They even wrapped up my winter tyres.! Goodcommunication too. Recommended.",advisor/agent service positive,mobile fitter positive,"['quick', 'easy', 'use', '.', 'Bonus', ',', 'garage', 'fitted', '.', 'even', 'wrapped', 'winter', 'tyres.', '!', 'Goodcommunication', '.', 'Recommended', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
"Excellent service, great customer service and quick response. Would recommend to everyone.Very switched on company",advisor/agent service positive,response time positive,"['Excellent', 'service', ',', 'great', 'customer', 'service', 'quick', 'response', '.', 'Would', 'recommend', 'everyone.Very', 'switched', 'company']",positive,{'garage service': 'positive'}
"Excellent service from [REDACTED] as usual. Good value, and trouble free too. Thank you.",value for money positive,,"['Excellent', 'service', '[', 'REDACTED', ']', 'usual', '.', 'Good', 'value', ',', 'trouble', 'free', '.', 'Thank', '.']",positive,{'garage service': 'positive'}
Slow response to discount code. Had difficulty in using a code previously given to me and it took 10 days to respond by e-mail,response time negative,discount not applied negative,"['Slow', 'response', 'discount', 'code', '.', 'difficulty', 'using', 'code', 'previously', 'given', 'took', '10', 'days', 'respond', 'e-mail']",negative,{}
This company was recommended to me by a friend and I found it really good . I was able to select the tyres that were suitable for my car while also following guidance provided. There is a wide range of tyres to choose from and the fact that one can select the nearest place to have the tyres fitted at their own convenient time makes this service excellent!!,ease of booking positive,,"['company', 'recommended', 'friend', 'found', 'really', 'good', '.', 'able', 'select', 'tyres', 'suitable', 'car', 'also', 'following', 'guidance', 'provided', '.', 'wide', 'range', 'tyres', 'choose', 'fact', 'one', 'select', 'nearest', 'place', 'tyres', 'fitted', 'convenient', 'time', 'makes', 'service', 'excellent', '!', '!']",positive,"{'garage service': 'positive', 'wait time': 'positive', 'incorrect tyres': 'positive'}"
Only thing was for this type of tyre it seems I had to go to ATS in Farncombe but just for convenience I might have preferred Peugeot on Hurtmore Road-service at ATS was great but I prefer the facilities whilst waiting at Peugeot! 😊,location negative,,"['thing', 'type', 'tyre', 'seems', 'go', 'ATS', 'Farncombe', 'convenience', 'might', 'preferred', 'Peugeot', 'Hurtmore', 'Road-service', 'ATS', 'great', 'prefer', 'facilities', 'whilst', 'waiting', 'Peugeot', '!', '😊']",positive,"{'garage service': 'positive', 'wait time': 'positive', 'incorrect tyres': 'positive'}"
"I have purchased tyres for a variety of domestic vehicles from [REDACTED] for some years. The website is informative and helpful, the range of tyres for each size is comprehensive, from budget to high performance, and there's a wide range of prices at market-leading rates. The ""order now and agree a fitting appointment in a few days' time, at your preferred centre"" usually works well. Only once was delivery of my order delayed: [REDACTED] staff investigated promptly and re-arranged the appointment, while further-discounting my bill in compensation for my inconvenience. Can't say fairer than that.",discounts positive,ease of booking positive,"['purchased', 'tyres', 'variety', 'domestic', 'vehicles', '[', 'REDACTED', ']', 'years', '.', 'website', 'informative', 'helpful', ',', 'range', 'tyres', 'size', 'comprehensive', ',', 'budget', 'high', 'performance', ',', ""'s"", 'wide', 'range', 'prices', 'market-leading', 'rates', '.', '``', 'order', 'agree', 'fitting', 'appointment', 'days', ""'"", 'time', ',', 'preferred', 'centre', ""''"", 'usually', 'works', 'well', '.', 'delivery', 'order', 'delayed', ':', '[', 'REDACTED', ']', 'staff', 'investigated', 'promptly', 're-arranged', 'appointment', ',', 'further-discounting', 'bill', 'compensation', 'inconvenience', '.', 'Ca', ""n't"", 'say', 'fairer', '.']",negative,"{'wait time': 'negative', 'incorrect tyres': 'negative'}"
Always the first place I go to for replacement tyres for either the car or bike - cuts out the hassle of buying tyres and then having to arrange fitting them separately.,ease of booking positive,,"['Always', 'first', 'place', 'go', 'replacement', 'tyres', 'either', 'car', 'bike', '-', 'cuts', 'hassle', 'buying', 'tyres', 'arrange', 'fitting', 'separately', '.']",positive,{'incorrect tyres': 'positive'}
"Prompt service, with good choice of local garages",location positive,wait time positive,"['Prompt', 'service', ',', 'good', 'choice', 'local', 'garages']",positive,{'garage service': 'positive'}
I purchased 4 tyres to replace my 4 winter tyres. The online ordering system worked smoothly and I received a swift confirmation of an appointment on my chosen date with my preferred garage. All my tyres were changed and balanced competently by The Dent Centre in Glasgow. I would not hesitate to recommend [REDACTED] if you're thinking of purchasing new tyres.,ease of booking positive,garage service positive,"['purchased', '4', 'tyres', 'replace', '4', 'winter', 'tyres', '.', 'online', 'ordering', 'system', 'worked', 'smoothly', 'received', 'swift', 'confirmation', 'appointment', 'chosen', 'date', 'preferred', 'garage', '.', 'tyres', 'changed', 'balanced', 'competently', 'Dent', 'Centre', 'Glasgow', '.', 'would', 'hesitate', 'recommend', '[', 'REDACTED', ']', ""'re"", 'thinking', 'purchasing', 'new', 'tyres', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
"Competitive price and choice of options. Fitting location seemed to have conflicting information about booking but tried to meet expectations, I got the impression this wasn’t the first time it had happened.",booking confusion negative,value for money positive,"['Competitive', 'price', 'choice', 'options', '.', 'Fitting', 'location', 'seemed', 'conflicting', 'information', 'booking', 'tried', 'meet', 'expectations', ',', 'got', 'impression', '’', 'first', 'time', 'happened', '.']",positive,{'wait time': 'positive'}
Hassle free booking from home.Good price.Fitted in good time on the date required.,ease of booking positive,value for money positive,"['Hassle', 'free', 'booking', 'home.Good', 'price.Fitted', 'good', 'time', 'date', 'required', '.']",positive,{'wait time': 'positive'}
"Great selection of tyres, good website makes it easier to choose and nice prices too.",value for money positive,,"['Great', 'selection', 'tyres', ',', 'good', 'website', 'makes', 'easier', 'choose', 'nice', 'prices', '.']",positive,{'incorrect tyres': 'positive'}
"Great service, prompt delivery but price could have been better.",delivery punctuality positive,value for money negative,"['Great', 'service', ',', 'prompt', 'delivery', 'price', 'could', 'better', '.']",positive,{'garage service': 'positive'}
"After I placed my order, paid, and accepted a fitting slot, I was contacted by [REDACTED] and told that my fitting slot was being cancelled, because they were unable to deliver the tyres due to the weather.The weather in question had been forecast over a week in advance, and before I placed my order. Other businesses prepared and adapted, [REDACTED] did not. They could have chosen to deliver the tyres to the fitting centre before the weather came, they had time to do this. Alternatively, they could have set their website not to accept fitting slots in the days immediately after the poor weather. They did neither of these things.When I eventually got my tyres fitted, the local garage that did the work were great. Very friendly and helpful. I'm going to leave them a positive review elsewhere so that they're not tarnished by this one.",garage service positive,ease of booking negative,"['placed', 'order', ',', 'paid', ',', 'accepted', 'fitting', 'slot', ',', 'contacted', '[', 'REDACTED', ']', 'told', 'fitting', 'slot', 'cancelled', ',', 'unable', 'deliver', 'tyres', 'due', 'weather.The', 'weather', 'question', 'forecast', 'week', 'advance', ',', 'placed', 'order', '.', 'businesses', 'prepared', 'adapted', ',', '[', 'REDACTED', ']', '.', 'could', 'chosen', 'deliver', 'tyres', 'fitting', 'centre', 'weather', 'came', ',', 'time', '.', 'Alternatively', ',', 'could', 'set', 'website', 'accept', 'fitting', 'slots', 'days', 'immediately', 'poor', 'weather', '.', 'neither', 'things.When', 'eventually', 'got', 'tyres', 'fitted', ',', 'local', 'garage', 'work', 'great', '.', 'friendly', 'helpful', '.', ""'m"", 'going', 'leave', 'positive', 'review', 'elsewhere', ""'re"", 'tarnished', 'one', '.']",positive,"{'garage service': 'positive', 'wait time': 'positive', 'incorrect tyres': 'positive'}"
"Easy, reliable process. Only went with [REDACTED] originally as I wanted certain tyres. The place where I had them fitted, could not supply and offered me something else. So I had the tyres I wanted fitted at the same place I normally go to, got the tyres “I” wanted for £40 less than I had been quoted by another garage.",value for money negative,no stock negative,"['Easy', ',', 'reliable', 'process', '.', 'went', '[', 'REDACTED', ']', 'originally', 'wanted', 'certain', 'tyres', '.', 'place', 'fitted', ',', 'could', 'supply', 'offered', 'something', 'else', '.', 'tyres', 'wanted', 'fitted', 'place', 'normally', 'go', ',', 'got', 'tyres', '“', '”', 'wanted', '£40', 'less', 'quoted', 'another', 'garage', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
This is the first time I have used [REDACTED] and I am impressed. I brought 2 Bridgestone tyres and they were £20 cheaper than if I brought them direct from my local tyre shop. The tyres were fitted at my local tyre shop and they said there was no way they could match the price. I put the money I saved towards having my wheel alignment done. Happy days! Will definitely use again and would recommend to friends and family.,location positive,value for money positive,"['first', 'time', 'used', '[', 'REDACTED', ']', 'impressed', '.', 'brought', '2', 'Bridgestone', 'tyres', '£20', 'cheaper', 'brought', 'direct', 'local', 'tyre', 'shop', '.', 'tyres', 'fitted', 'local', 'tyre', 'shop', 'said', 'way', 'could', 'match', 'price', '.', 'put', 'money', 'saved', 'towards', 'wheel', 'alignment', 'done', '.', 'Happy', 'days', '!', 'definitely', 'use', 'would', 'recommend', 'friends', 'family', '.']",positive,"{'wait time': 'positive', 'incorrect tyres': 'positive'}"
[REDACTED] is an easy to use website with great range of tyres at very reasonable prices couple that with excellent customer service from Elsham garage the Premier fitting partner where my tyres were fitted and you have a great overall package. I will always come to [REDACTED].com for my tyres.,value for money positive,garage service positive,"['[', 'REDACTED', ']', 'easy', 'use', 'website', 'great', 'range', 'tyres', 'reasonable', 'prices', 'couple', 'excellent', 'customer', 'service', 'Elsham', 'garage', 'Premier', 'fitting', 'partner', 'tyres', 'fitted', 'great', 'overall', 'package', '.', 'always', 'come', '[', 'REDACTED', ']', '.com', 'tyres', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
"I always use [REDACTED], best prices",value for money positive,,"['always', 'use', '[', 'REDACTED', ']', ',', 'best', 'prices']",positive,{}
"Excellent service. Easy to find right tyres, easy to book fitting with local garage who were quick and efficient all at an excellent cost.",ease of booking positive,location positive,"['Excellent', 'service', '.', 'Easy', 'find', 'right', 'tyres', ',', 'easy', 'book', 'fitting', 'local', 'garage', 'quick', 'efficient', 'excellent', 'cost', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
So easy to order tyres and at a good price. I was able to choose the Company to fit the tyres and at a time which suited me. Will recommend and use again.,ease of booking positive,value for money positive,"['easy', 'order', 'tyres', 'good', 'price', '.', 'able', 'choose', 'Company', 'fit', 'tyres', 'time', 'suited', '.', 'recommend', 'use', '.']",positive,"{'wait time': 'positive', 'incorrect tyres': 'positive'}"
I’ve used [REDACTED] for a few years now and I always get my tyres fitted when I want to not when the garage says they can fit me in. I always save on local prices but still get them fitted by quality fitters!! Fabulous!! I always recommend [REDACTED].com when discussing tyres with mates. Every friend I’ve recommended has saved money!!,value for money positive,ease of booking positive,"['’', 'used', '[', 'REDACTED', ']', 'years', 'always', 'get', 'tyres', 'fitted', 'want', 'garage', 'says', 'fit', '.', 'always', 'save', 'local', 'prices', 'still', 'get', 'fitted', 'quality', 'fitters', '!', '!', 'Fabulous', '!', '!', 'always', 'recommend', '[', 'REDACTED', ']', '.com', 'discussing', 'tyres', 'mates', '.', 'Every', 'friend', '’', 'recommended', 'saved', 'money', '!', '!']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
Good. Easy to use system,,,"['Good', '.', 'Easy', 'use', 'system']",positive,{}
"I ordered 2 front tyres, I wanted them fitted at my nearest garage, unfortunately the garage couldn’t accommodate my date so I phoned [REDACTED] and changed the garage with ease, there was great communication and I was kept informed by various emails. Would definitely use them again",advisor/agent service positive,location negative,"['ordered', '2', 'front', 'tyres', ',', 'wanted', 'fitted', 'nearest', 'garage', ',', 'unfortunately', 'garage', '’', 'accommodate', 'date', 'phoned', '[', 'REDACTED', ']', 'changed', 'garage', 'ease', ',', 'great', 'communication', 'kept', 'informed', 'various', 'emails', '.', 'Would', 'definitely', 'use']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
"Excellent supplier For an online tyre supply and fitting service [REDACTED] are brilliant , A totally hassle free superfast service with a large network of fitters , I would recommend highly",length of fitting positive,,"['Excellent', 'supplier', 'online', 'tyre', 'supply', 'fitting', 'service', '[', 'REDACTED', ']', 'brilliant', ',', 'totally', 'hassle', 'free', 'superfast', 'service', 'large', 'network', 'fitters', ',', 'would', 'recommend', 'highly']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
"Easy to use online,great deal good price,no problems.will be my no 1 tyre supplier from now on.",value for money positive,,"['Easy', 'use', 'online', ',', 'great', 'deal', 'good', 'price', ',', 'problems.will', '1', 'tyre', 'supplier', '.']",positive,{'incorrect tyres': 'positive'}
Very good.. delivery if tyres to garage on time,delivery punctuality positive,,"['good', '..', 'delivery', 'tyres', 'garage', 'time']",positive,"{'garage service': 'positive', 'wait time': 'positive', 'incorrect tyres': 'positive'}"
"Bought the tyres, booked the appointment at a service centre, and the tyres were fitted as expected.The whole process was nice and smooth, and how and when things would happen were explained at every stage.[REDACTED] took the stress and bother out of getting new tyres fitted to my car!",ease of booking positive,,"['Bought', 'tyres', ',', 'booked', 'appointment', 'service', 'centre', ',', 'tyres', 'fitted', 'expected.The', 'whole', 'process', 'nice', 'smooth', ',', 'things', 'would', 'happen', 'explained', 'every', 'stage', '.', '[', 'REDACTED', ']', 'took', 'stress', 'bother', 'getting', 'new', 'tyres', 'fitted', 'car', '!']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
The time you book is apparently not the actual time you are offered so you have to replan the next day when they actually confirm your time. Not sure why you would not just be honest from the start?,ease of booking negative,,"['time', 'book', 'apparently', 'actual', 'time', 'offered', 'replan', 'next', 'day', 'actually', 'confirm', 'time', '.', 'sure', 'would', 'honest', 'start', '?']",positive,{'wait time': 'positive'}
I was delighted with the service. I made a mistake of ordering the wrong size tyres originally but the person on the customer service was very good natured and rectified the situation with no fuss at all. I will have no hesitation in using [REDACTED] again in the future.,advisor/agent service positive,,"['delighted', 'service', '.', 'made', 'mistake', 'ordering', 'wrong', 'size', 'tyres', 'originally', 'person', 'customer', 'service', 'good', 'natured', 'rectified', 'situation', 'fuss', '.', 'hesitation', 'using', '[', 'REDACTED', ']', 'future', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
Easy to use service which is good value for money compared to the high street.However the discount code allocated to the tires i chose did not work at checkout so losing out on a £20 saving,value for money positive,discount not applied negative,"['Easy', 'use', 'service', 'good', 'value', 'money', 'compared', 'high', 'street.However', 'discount', 'code', 'allocated', 'tires', 'chose', 'work', 'checkout', 'losing', '£20', 'saving']",positive,{'garage service': 'positive'}
"Great service, choice and price",value for money positive,,"['Great', 'service', ',', 'choice', 'price']",positive,{'garage service': 'positive'}
Terrible customer service. Got a refund in the end and bought the tyres from a garage,refund negative,,"['Terrible', 'customer', 'service', '.', 'Got', 'refund', 'end', 'bought', 'tyres', 'garage']",negative,"{'garage service': 'negative', 'incorrect tyres': 'negative'}"
Appointment was on time and customer service was very friendly,wait time positive,advisor/agent service positive,"['Appointment', 'time', 'customer', 'service', 'friendly']",positive,"{'garage service': 'positive', 'wait time': 'positive'}"
Tyres and [REDACTED] service and price was good . I didn't have confidence with the fitters. I asked them to torque the wheel bolts to 170NM. They said this was too tight but I insisted. I then watched them do the bolts up with an 'air gun' then apply the torque wrench to each bolt on each wheel but didn't see the wrench move before the toque (click) setting engaged suggesting that the 'air gun' had already done them up super tight. This is all well and good until I need to change a wheel at the side of the road and can't get the bolts undone without a breaker bar.,garage service negative,value for money positive,"['Tyres', '[', 'REDACTED', ']', 'service', 'price', 'good', '.', ""n't"", 'confidence', 'fitters', '.', 'asked', 'torque', 'wheel', 'bolts', '170NM', '.', 'said', 'tight', 'insisted', '.', 'watched', 'bolts', ""'air"", 'gun', ""'"", 'apply', 'torque', 'wrench', 'bolt', 'wheel', ""n't"", 'see', 'wrench', 'move', 'toque', '(', 'click', ')', 'setting', 'engaged', 'suggesting', ""'air"", 'gun', ""'"", 'already', 'done', 'super', 'tight', '.', 'well', 'good', 'need', 'change', 'wheel', 'side', 'road', 'ca', ""n't"", 'get', 'bolts', 'undone', 'without', 'breaker', 'bar', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
Looked online for required tyres. Good choice of tyres varying prices to suit budget. Quick and easy booking service. Fitted at exact time. No wasted time waiting. Thank you. 2nd time used [REDACTED] as well. Highly recommend,value for money positive,ease of booking positive,"['Looked', 'online', 'required', 'tyres', '.', 'Good', 'choice', 'tyres', 'varying', 'prices', 'suit', 'budget', '.', 'Quick', 'easy', 'booking', 'service', '.', 'Fitted', 'exact', 'time', '.', 'wasted', 'time', 'waiting', '.', 'Thank', '.', '2nd', 'time', 'used', '[', 'REDACTED', ']', 'well', '.', 'Highly', 'recommend']",positive,"{'garage service': 'positive', 'wait time': 'positive', 'incorrect tyres': 'positive'}"
"They are so easy to use ,you get to choose which tyres at the cost you can afford with reviews on all the tyres great üëç",value for money positive,,"['easy', 'use', ',', 'get', 'choose', 'tyres', 'cost', 'afford', 'reviews', 'tyres', 'great', '\uf8ffüëç']",positive,{'incorrect tyres': 'positive'}
No problems. No queues. Booked a time right for me.,ease of booking positive,,"['problems', '.', 'queues', '.', 'Booked', 'time', 'right', '.']",positive,{'wait time': 'positive'}
"Great service again, so easy to use and book and best prices too. We use a local garage to work so drop the car off first, then pick it up when done.",ease of booking positive,value for money positive,"['Great', 'service', ',', 'easy', 'use', 'book', 'best', 'prices', '.', 'use', 'local', 'garage', 'work', 'drop', 'car', 'first', ',', 'pick', 'done', '.']",positive,{'garage service': 'positive'}
"Quick and easy,good prices and garage service very professional",garage service positive,value for money positive,"['Quick', 'easy', ',', 'good', 'prices', 'garage', 'service', 'professional']",positive,{'garage service': 'positive'}
"So easy to use, brilliant service",,,"['easy', 'use', ',', 'brilliant', 'service']",positive,{'garage service': 'positive'}
"Prices are the cheapest, the use of the online booking system is easy if you simply want a replacement tyre like for like. Simply read off the side of the old tyre the descriptive sizing and input. Choose a local fitting service listed and select the time and date of appointment, what could be easier. Great service.",ease of booking positive,value for money positive,"['Prices', 'cheapest', ',', 'use', 'online', 'booking', 'system', 'easy', 'simply', 'want', 'replacement', 'tyre', 'like', 'like', '.', 'Simply', 'read', 'side', 'old', 'tyre', 'descriptive', 'sizing', 'input', '.', 'Choose', 'local', 'fitting', 'service', 'listed', 'select', 'time', 'date', 'appointment', ',', 'could', 'easier', '.', 'Great', 'service', '.']",positive,"{'garage service': 'positive', 'wait time': 'positive', 'incorrect tyres': 'positive'}"
I found tyres are cheaper compare to Asda tyre.,value for money positive,,"['found', 'tyres', 'cheaper', 'compare', 'Asda', 'tyre', '.']",neutral,{'incorrect tyres': 'neutral'}
Really easy to complete,,,"['Really', 'easy', 'complete']",positive,{}
Used before good service an value for money can’t fault them,value for money positive,,"['Used', 'good', 'service', 'value', 'money', '’', 'fault']",positive,{'garage service': 'positive'}
"Perfect, brilliant price, easy to locate someone to fit and quick delivery",delivery punctuality positive,location positive,"['Perfect', ',', 'brilliant', 'price', ',', 'easy', 'locate', 'someone', 'fit', 'quick', 'delivery']",positive,{}
"Great work! Cheapest tires around, simple, easy, clear winner!",value for money positive,,"['Great', 'work', '!', 'Cheapest', 'tires', 'around', ',', 'simple', ',', 'easy', ',', 'clear', 'winner', '!']",positive,{}
"Got the tires I wanted at a competitive price. Also got a few extras from the garage for free - wheel alignment checks and front brakes checked.What wasn't so good was [REDACTED] tried to contact me to state that I needed Run Flats. I tried to call them back but lines closed early. Then emailed them and although they came back to me they didn't read or take notice of my out of office.Therefore ended up turning up at the garage and just put on the tires that I had already bought. They also created a little unnecessary distress as it was made out that I couldn't apply non-run flats, the garage said it was all ok and tires now fitted.So all good in the end, just unnecessary distress in the middle!",value for money positive,extra charges positive,"['Got', 'tires', 'wanted', 'competitive', 'price', '.', 'Also', 'got', 'extras', 'garage', 'free', '-', 'wheel', 'alignment', 'checks', 'front', 'brakes', 'checked.What', ""n't"", 'good', '[', 'REDACTED', ']', 'tried', 'contact', 'state', 'needed', 'Run', 'Flats', '.', 'tried', 'call', 'back', 'lines', 'closed', 'early', '.', 'emailed', 'although', 'came', 'back', ""n't"", 'read', 'take', 'notice', 'office.Therefore', 'ended', 'turning', 'garage', 'put', 'tires', 'already', 'bought', '.', 'also', 'created', 'little', 'unnecessary', 'distress', 'made', 'could', ""n't"", 'apply', 'non-run', 'flats', ',', 'garage', 'said', 'ok', 'tires', 'fitted.So', 'good', 'end', ',', 'unnecessary', 'distress', 'middle', '!']",positive,{'garage service': 'positive'}
Quick and easy to use and good value. Tyre fitters booked via the website were good too.,value for money positive,garage service positive,"['Quick', 'easy', 'use', 'good', 'value', '.', 'Tyre', 'fitters', 'booked', 'via', 'website', 'good', '.']",positive,{'incorrect tyres': 'positive'}
